criterion,lifecycle_step,name,category,avg_electricity_consumption,description,location,level,source,tier,unit,value
WATER_USE,TRANSPORTATION,Access floor,Architecture,"",Access floor,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.00046031
WATER_USE,END_OF_LIFE,Access floor,Architecture,"",Access floor,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.411
WATER_USE,MANUFACTURING,Access floor,Architecture,"",Access floor,,2-Equipement,NegaOctet-20220211,Datacenter,m²,2.68
WATER_USE,TRANSPORTATION,access-floor-1,Architecture,"",Access floor,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.00046031
WATER_USE,END_OF_LIFE,access-floor-1,Architecture,"",Access floor,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.411
WATER_USE,MANUFACTURING,access-floor-1,Architecture,"",Access floor,,2-Equipement,NegaOctet-20220211,Datacenter,m²,2.68
WATER_USE,TRANSPORTATION,Acoustic flocking,Architecture,"",Acoustic flocking,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.000054435
WATER_USE,END_OF_LIFE,Acoustic flocking,Architecture,"",Acoustic flocking,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.0124
WATER_USE,MANUFACTURING,Acoustic flocking,Architecture,"",Acoustic flocking,,2-Equipement,NegaOctet-20220211,Datacenter,m²,2.79
WATER_USE,TRANSPORTATION,acoustic-flocking-1,Architecture,"",Acoustic flocking,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.000054435
WATER_USE,END_OF_LIFE,acoustic-flocking-1,Architecture,"",Acoustic flocking,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.0124
WATER_USE,MANUFACTURING,acoustic-flocking-1,Architecture,"",Acoustic flocking,,2-Equipement,NegaOctet-20220211,Datacenter,m²,2.79
WATER_USE,TRANSPORTATION,Actuator,Architecture,"",Actuator,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.000061884
WATER_USE,END_OF_LIFE,Actuator,Architecture,"",Actuator,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.027
WATER_USE,MANUFACTURING,Actuator,Architecture,"",Actuator,,2-Equipement,NegaOctet-20220211,Datacenter,m²,3.63
WATER_USE,TRANSPORTATION,actuator-1,Architecture,"",Actuator,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.000061884
WATER_USE,END_OF_LIFE,actuator-1,Architecture,"",Actuator,,2-Equipement,NegaOctet-20220211,Datacenter,m²,0.027
WATER_USE,MANUFACTURING,actuator-1,Architecture,"",Actuator,,2-Equipement,NegaOctet-20220211,Datacenter,m²,3.63
WATER_USE,TRANSPORTATION,Aggregation router,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,0.192323188
WATER_USE,MANUFACTURING,Aggregation router,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,1570
WATER_USE,END_OF_LIFE,Aggregation router,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,61900
WATER_USE,TRANSPORTATION,Aggregation WDM (Wavelength Division Multiplexing),Aggregation,"",Aggregation WDM (Wavelength Division Multiplexing),,2-Equipement,NegaOctet-20220211,Network,Item,0.1590564744
WATER_USE,MANUFACTURING,Aggregation WDM (Wavelength Division Multiplexing),Aggregation,"",Aggregation WDM (Wavelength Division Multiplexing),,2-Equipement,NegaOctet-20220211,Network,Item,4160
WATER_USE,END_OF_LIFE,Aggregation WDM (Wavelength Division Multiplexing),Aggregation,"",Aggregation WDM (Wavelength Division Multiplexing),,2-Equipement,NegaOctet-20220211,Network,Item,56900
WATER_USE,TRANSPORTATION,aggregation-router-1,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,0.192323188
WATER_USE,MANUFACTURING,aggregation-router-1,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,1570
WATER_USE,END_OF_LIFE,aggregation-router-1,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,61900
WATER_USE,TRANSPORTATION,aggregation-router-2,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,0.192323188
WATER_USE,MANUFACTURING,aggregation-router-2,Aggregation,"",Aggregation router,,2-Equipement,NegaOctet-20220211,Network,Item,1570
