criterion;lifecycle_step;name;category;avg_electricity_consumption;description;location;level;source;tier;unit;value;subscriber;version
RESOURCE_USE;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;0.0887;NULL;NULL
RESOURCE_USE_FOSSILS;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;108000;NULL;NULL
ACIDIFICATION;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;45.6;NULL;NULL
EUTROPHICATION_FRESHWATER;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;0.0248;NULL;NULL
EUTROPHICATION_MARINE;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;5.42;NULL;NULL
EUTROPHICATION_TERRESTRIAL;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;56.6;NULL;NULL
CLIMATE_CHANGE;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;8130;NULL;NULL
IONISING_RADIATION;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;2860;NULL;NULL
OZONE_DEPLETION;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;0.00336;NULL;NULL
PARTICULATE_MATTER;MANUFACTURING;Small AI Server (2 × NVIDIA L4);IT equipment;10512;Rack server NO, 2 processor high-end, 4 SSD: 2048 GB each, 0 HDD, 48 RAM, 64 GB each, 2 GPUs Nvidia L4 (Hubblo), electricty consumption based on NegaOctet server with only 1 GPU);;2-Equipement;NegaOctet-20220211 + ACV Hubblo (https://data.hubblo.org/gpu);Datacenter;Item;0.000252;NULL;NULL
