criterion;lifecycle_step;name;category;avg_electricity_consumption;description;location;level;source;tier;unit;value;subscriber;version
CLIMATE_CHANGE;MANUFACTURING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;7.62587901366399;NULL;NULL
RESOURCE_USE;MANUFACTURING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.00155638445149279;NULL;NULL
ACIDIFICATION;MANUFACTURING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0564390986521907;NULL;NULL
IONISING_RADIATION;MANUFACTURING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;59.5699002284214;NULL;NULL
PARTICULATE_MATTER;MANUFACTURING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000003869395334;NULL;NULL
CLIMATE_CHANGE;TRANSPORTATION;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.00514143122102349;NULL;NULL
RESOURCE_USE;TRANSPORTATION;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000000001498082;NULL;NULL
ACIDIFICATION;TRANSPORTATION;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000221484334869;NULL;NULL
IONISING_RADIATION;TRANSPORTATION;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000124606196118;NULL;NULL
PARTICULATE_MATTER;TRANSPORTATION;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000000002538566;NULL;NULL
CLIMATE_CHANGE;USING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;16.3981935296899;NULL;NULL
RESOURCE_USE;USING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000061289552904;NULL;NULL
ACIDIFICATION;USING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0905994287415612;NULL;NULL
IONISING_RADIATION;USING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;308.109860311325;NULL;NULL
PARTICULATE_MATTER;USING;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000021415345316;NULL;NULL
CLIMATE_CHANGE;END_OF_LIFE;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.562228113539869;NULL;NULL
RESOURCE_USE;END_OF_LIFE;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000008200219105;NULL;NULL
ACIDIFICATION;END_OF_LIFE;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.00646471831806298;NULL;NULL
IONISING_RADIATION;END_OF_LIFE;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0227227030603282;NULL;NULL
PARTICULATE_MATTER;END_OF_LIFE;fixed-line-network-1;;195.1217214;Fixed-line network FR;France;3-System;Fake data for tests;Network;Line;0.0000000264451666;NULL;NULL
CLIMATE_CHANGE;MANUFACTURING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;253.426324830859;NULL;NULL
RESOURCE_USE;MANUFACTURING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0131261988565737;NULL;NULL
ACIDIFICATION;MANUFACTURING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;1.10839036958167;NULL;NULL
IONISING_RADIATION;MANUFACTURING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;68.1604851269867;NULL;NULL
PARTICULATE_MATTER;MANUFACTURING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000118708014804;NULL;NULL
CLIMATE_CHANGE;TRANSPORTATION;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;25.6935586250966;NULL;NULL
RESOURCE_USE;TRANSPORTATION;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000009991461143;NULL;NULL
ACIDIFICATION;TRANSPORTATION;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0852861976665859;NULL;NULL
IONISING_RADIATION;TRANSPORTATION;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0391840440399759;NULL;NULL
PARTICULATE_MATTER;TRANSPORTATION;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000005285703547;NULL;NULL
CLIMATE_CHANGE;USING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;1.4955420363965;NULL;NULL
RESOURCE_USE;USING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000010881042255;NULL;NULL
ACIDIFICATION;USING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0116638192224195;NULL;NULL
IONISING_RADIATION;USING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;63.7389300042666;NULL;NULL
PARTICULATE_MATTER;USING;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000004857156429;NULL;NULL
CLIMATE_CHANGE;END_OF_LIFE;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;1.29002948801164;NULL;NULL
RESOURCE_USE;END_OF_LIFE;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000046937502817;NULL;NULL
ACIDIFICATION;END_OF_LIFE;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0152377504984708;NULL;NULL
IONISING_RADIATION;END_OF_LIFE;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.194964326066869;NULL;NULL
PARTICULATE_MATTER;END_OF_LIFE;laptop-3;Consultation;26.6;Laptop 15.6 inches;France;2-Equipement;Fake data for tests;End-user/Terminals;Item;0.0000000501546232;NULL;NULL
CLIMATE_CHANGE;MANUFACTURING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;2226.09317222576;NULL;NULL
RESOURCE_USE;MANUFACTURING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0549659733039536;NULL;NULL
ACIDIFICATION;MANUFACTURING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;13.0883706985724;NULL;NULL
IONISING_RADIATION;MANUFACTURING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;449.997195182564;NULL;NULL
PARTICULATE_MATTER;MANUFACTURING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0000961088523186;NULL;NULL
CLIMATE_CHANGE;TRANSPORTATION;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;46.3607713639849;NULL;NULL
RESOURCE_USE;TRANSPORTATION;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0000021458846922;NULL;NULL
ACIDIFICATION;TRANSPORTATION;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.323451309866801;NULL;NULL
IONISING_RADIATION;TRANSPORTATION;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.853171144821485;NULL;NULL
PARTICULATE_MATTER;TRANSPORTATION;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.000001076882235;NULL;NULL
CLIMATE_CHANGE;USING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;231.642666020108;NULL;NULL
RESOURCE_USE;USING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0000988211395292;NULL;NULL
ACIDIFICATION;USING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;1.2471176438169;NULL;NULL
IONISING_RADIATION;USING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;6974.27640524476;NULL;NULL
PARTICULATE_MATTER;USING;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0000602628354656;NULL;NULL
CLIMATE_CHANGE;END_OF_LIFE;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;6.97183551903243;NULL;NULL
RESOURCE_USE;END_OF_LIFE;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0000142213153045;NULL;NULL
ACIDIFICATION;END_OF_LIFE;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.156164310004875;NULL;NULL
IONISING_RADIATION;END_OF_LIFE;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.867693171454589;NULL;NULL
PARTICULATE_MATTER;END_OF_LIFE;blade-server--28;IT equipment;3721.0;Blade server 2CPU 16G RAM;France;2-Equipement;Fake data for tests;Datacenter;Item;0.0000003739048908;NULL;NULL
CLIMATE_CHANGE;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0207635;NULL;NULL
RESOURCE_USE;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.000000229556;NULL;NULL
ACIDIFICATION;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0000031651;NULL;NULL
IONISING_RADIATION;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0014664;NULL;NULL
PARTICULATE_MATTER;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.00000000161553;NULL;NULL
RESOURCE_USE_FOSSILS;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.2005;NULL;NULL
EUTROPHICATION_MARINE;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0000150747;NULL;NULL
EUTROPHICATION_FRESHWATER;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.00000000552942;NULL;NULL
EUTROPHICATION_TERRESTRIAL;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0000387635;NULL;NULL
PHOTOCHEMICAL_OZONE_FORMATION;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0000478961;NULL;NULL
OZONE_DEPLETION;MANUFACTURING;Electricity Mix AL;electricity-mix;NULL;;Albania;0-Base data;Base IMPACTS ®Version 2.01;;;0.0000000000001501;NULL;NULL
CLIMATE_CHANGE;MANUFACTURING;Electricity Mix DZ;electricity-mix;NULL;;Algeria;0-Base data;Base IMPACTS ®Version 2.01;;;1.02318;NULL;NULL
RESOURCE_USE;MANUFACTURING;Electricity Mix DZ;electricity-mix;NULL;;Algeria;0-Base data;Base IMPACTS ®Version 2.01;;;0.0000000216438;NULL;NULL
